MAKE,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,clase,CO2EMISSIONS
0,0,1.0,1,0,0,9.9,6.7,8.5,33,0,196
0,0,2.4,1,1,0,11.2,7.7,9.6,29,0,221
0,0,1.5,1,2,0,6.0,5.8,5.9,48,0,136
0,1,3.5,6,3,0,12.7,9.1,11.1,25,0,255
0,1,3.5,6,3,0,12.1,8.7,10.6,27,0,244
0,2,3.5,6,3,0,11.9,7.7,10.0,28,0,230
0,2,3.5,6,3,0,11.8,8.1,10.1,28,0,232
0,2,3.7,6,3,0,12.8,9.0,11.1,25,0,255
0,2,3.7,6,1,0,13.4,9.5,11.6,24,0,267
0,0,2.4,1,0,0,10.6,7.5,9.2,31,0,212
0,0,2.4,1,1,0,11.2,8.1,9.8,29,0,225
0,0,3.5,6,0,0,12.1,8.3,10.4,27,0,239
1,3,5.9,12,4,0,18.0,12.6,15.6,18,0,359
1,4,5.9,12,4,0,18.0,12.6,15.6,18,0,359
1,5,4.7,8,5,0,17.4,11.3,14.7,19,0,338
1,5,4.7,8,1,0,18.1,12.2,15.4,18,0,354
1,5,4.7,8,5,0,17.4,11.3,14.7,19,0,338
1,5,4.7,8,1,0,18.1,12.2,15.4,18,0,354
1,3,5.9,12,4,0,18.0,12.6,15.6,18,0,359
2,0,1.0,1,6,0,9.9,7.4,8.8,32,0,202
2,0,1.0,1,7,0,11.5,8.1,10.0,28,0,230
2,0,1.0,1,1,0,10.8,7.5,9.3,30,0,214
2,4,1.0,1,7,0,11.5,8.1,10.0,28,0,230
2,4,1.0,1,7,0,11.5,8.1,10.0,28,0,230
2,4,1.0,1,1,0,10.8,7.5,9.3,30,0,214
2,2,1.0,1,7,0,12.0,8.1,10.2,28,0,235
2,2,1.0,6,7,0,12.8,8.6,10.9,26,0,251
2,2,1.0,6,7,1,9.8,6.4,8.3,34,0,224
2,2,1.0,6,7,0,13.1,8.8,11.2,25,0,258
2,2,1.0,6,7,1,9.8,6.4,8.3,34,0,224
2,2,1.0,6,7,0,13.1,8.8,11.2,25,0,258
2,2,1.0,8,7,0,13.5,8.6,11.3,25,0,260
2,2,1.0,6,7,1,10.0,6.4,8.4,34,0,227
2,6,1.0,6,7,0,13.1,8.8,11.2,25,0,258
2,6,1.0,8,7,0,14.7,9.7,12.5,23,0,288
2,6,6.3,12,7,0,18.2,12.6,15.7,18,0,361
2,6,1.0,6,7,1,10.1,6.5,8.5,33,0,230
2,7,1.0,1,7,0,11.8,8.8,10.5,27,0,242
2,1,1.0,1,7,0,12.0,8.5,10.4,27,0,239
2,1,1.0,6,7,0,12.9,9.2,11.2,25,0,258
2,1,1.0,1,7,0,9.9,8.3,9.2,31,0,212
2,1,1.0,6,7,1,10.3,7.6,9.1,31,0,246
2,8,1.0,6,7,0,15.1,10.9,13.2,21,0,304
2,8,1.0,6,7,1,12.9,8.4,10.9,26,0,294
2,5,4.2,8,8,0,17.6,11.0,14.6,19,0,336
2,5,4.2,8,1,0,21.2,13.4,17.7,16,0,407
2,5,5.2,10,8,0,18.8,11.3,15.4,18,0,354
2,5,5.2,10,1,0,21.1,13.8,17.8,16,0,409
2,5,4.2,8,8,0,17.6,11.0,14.6,19,0,336
2,5,4.2,8,1,0,21.2,13.4,17.7,16,0,407
2,5,5.2,10,8,0,18.8,11.3,15.4,18,0,354
2,5,5.2,10,1,0,21.1,13.8,17.8,16,0,409
2,4,4.2,8,8,0,15.3,10.9,13.3,21,0,306
2,4,4.2,8,8,0,15.2,11.3,13.4,21,0,308
2,2,1.0,8,7,0,15.3,9.3,12.6,22,0,290
2,0,1.0,6,8,0,13.2,9.2,11.4,25,0,262
2,0,1.0,6,1,0,14.6,9.8,12.4,23,0,285
2,4,1.0,6,8,0,13.2,9.2,11.4,25,0,262
2,4,1.0,6,1,0,14.6,9.8,12.4,23,0,285
2,4,1.0,6,8,0,13.3,9.5,11.6,24,0,267
2,2,1.0,8,8,0,14.2,9.7,12.2,23,0,281
2,2,1.0,8,8,0,14.2,9.7,12.2,23,0,281
2,2,1.0,8,7,0,15.4,9.8,12.9,22,0,297
2,1,1.0,6,7,0,14.9,10.1,12.7,22,0,292
2,4,1.0,1,4,0,10.4,7.6,9.1,31,0,209
2,5,1.0,1,4,0,10.4,7.6,9.1,31,0,209
2,4,1.0,1,4,0,11.5,8.8,10.3,27,0,237
2,5,1.0,1,4,0,11.5,8.8,10.3,27,0,237
3,4,1.0,8,7,0,15.4,9.8,12.9,22,0,297
3,4,6.0,12,7,0,18.8,11.5,15.5,18,0,356
3,4,1.0,8,7,0,16.8,10.3,13.9,20,0,320
3,4,6.0,12,7,0,20.0,12.2,16.5,17,0,380
3,4,1.0,8,7,0,16.7,10.6,14.0,20,0,322
3,4,6.0,12,7,0,20.0,12.2,16.5,17,0,380
3,2,6.0,12,7,0,20.0,12.2,16.5,17,0,380
3,2,6.8,8,7,0,22.3,14.9,19.0,15,0,437
4,0,1.0,1,9,0,10.0,6.5,8.4,34,0,193
4,0,1.0,1,1,0,10.4,6.7,8.7,32,0,200
4,0,1.0,1,9,0,10.2,7.0,8.8,32,0,202
4,0,1.0,1,9,1,7.6,5.5,6.7,42,0,181
4,7,1.0,1,9,1,7.6,5.5,6.7,42,0,181
4,0,1.0,1,9,0,10.0,6.5,8.4,34,0,193
4,0,1.0,1,1,0,10.4,6.7,8.7,32,0,200
4,0,1.0,1,9,0,10.6,7.2,9.1,31,0,209
4,6,1.0,1,9,0,10.6,7.2,9.1,31,0,209
4,7,1.0,1,9,0,10.6,7.2,9.1,31,0,209
4,0,1.0,6,9,0,11.4,7.3,9.6,29,0,221
4,0,1.0,6,1,0,11.8,7.9,10.0,28,0,230
4,0,1.0,6,9,0,11.7,7.8,9.9,29,0,228
4,0,1.0,6,1,0,11.9,8.3,10.3,27,0,237
4,6,1.0,6,9,0,11.9,8.0,10.1,28,0,232
4,0,1.0,1,9,0,10.0,6.5,8.4,34,0,193
4,0,1.0,1,1,0,10.4,6.7,8.7,32,0,200
4,0,1.0,1,9,0,10.6,7.2,9.1,31,0,209
4,0,1.0,6,9,0,11.4,7.3,9.6,29,0,221
4,0,1.0,6,1,0,11.8,7.9,10.0,28,0,230
4,0,1.0,6,9,0,11.7,7.8,9.9,29,0,228
4,0,1.0,6,1,0,11.9,8.3,10.3,27,0,237
4,2,1.0,1,9,0,10.2,7.0,8.8,32,0,202
4,2,1.0,1,9,0,10.6,7.2,9.1,31,0,209
4,2,1.0,6,9,1,9.2,6.4,7.9,36,0,213
4,2,1.0,6,9,0,11.9,8.0,10.1,28,0,232
4,6,1.0,6,9,0,12.5,8.6,10.7,26,0,246
4,2,4.4,8,9,0,14.4,9.6,12.2,23,0,281
4,6,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,0,1.0,6,9,0,11.9,8.0,10.1,28,0,232
4,4,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,0,4.4,8,9,0,14.4,9.6,12.2,23,0,281
4,0,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,6,1.0,6,9,0,12.5,8.6,10.7,26,0,246
4,6,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,6,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,6,6.0,12,9,0,18.7,11.5,15.5,18,0,356
4,0,1.0,6,9,0,9.2,7.1,8.3,34,0,191
4,2,1.0,6,9,0,10.5,7.9,9.3,30,0,214
4,6,1.0,6,9,0,10.5,7.6,9.2,31,0,212
4,6,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,6,4.4,8,9,0,15.0,9.8,12.7,22,0,292
4,2,4.4,8,5,0,17.3,11.5,14.7,19,0,338
4,2,4.4,8,1,0,16.2,10.9,13.8,20,0,317
4,0,4.4,8,5,0,17.3,11.5,14.7,19,0,338
4,0,4.4,8,1,0,16.2,10.9,13.8,20,0,317
4,4,4.4,8,5,0,17.3,11.5,14.7,19,0,338
4,4,4.4,8,1,0,16.2,10.9,13.8,20,0,317
4,0,4.4,8,5,0,17.3,11.5,14.7,19,0,338
4,0,4.4,8,1,0,16.2,10.9,13.8,20,0,317
4,1,1.0,1,9,0,10.6,7.2,9.1,31,0,209
4,1,1.0,6,4,0,13.2,8.9,11.3,25,0,260
4,1,1.0,1,9,0,11.2,8.5,10.0,28,0,230
4,1,1.0,6,9,0,12.6,9.1,11.0,26,0,253
4,8,1.0,6,9,0,12.9,8.8,11.1,25,0,255
4,8,4.4,8,9,0,16.3,10.9,13.9,20,0,320
4,8,4.4,8,4,0,18.1,13.7,16.1,18,0,370
4,8,1.0,6,9,0,13.6,9.8,11.9,24,0,274
4,8,4.4,8,9,0,16.4,11.3,14.1,20,0,324
4,5,1.0,1,9,0,10.8,7.1,9.1,31,0,209
4,5,1.0,1,1,0,10.4,6.7,8.7,32,0,200
4,5,1.0,6,5,0,13.7,10.1,12.1,23,0,278
4,5,1.0,6,1,0,12.7,9.0,11.0,26,0,253
4,5,1.0,6,5,0,13.7,10.1,12.1,23,0,278
5,8,3.6,6,4,2,14.3,9.9,12.3,23,0,283
5,8,3.6,6,4,2,14.6,10.2,12.6,22,0,290
5,1,1.4,1,3,2,9.5,7.2,8.5,33,0,196
5,1,1.4,1,3,2,10.2,8.0,9.2,31,0,212
5,2,3.6,6,3,2,13.7,8.7,11.5,25,0,264
5,2,3.6,6,3,3,18.4,12.2,15.6,18,1,250
5,2,3.6,6,3,2,13.7,8.9,11.5,25,0,264
5,2,3.6,6,3,3,19.4,13.0,16.5,17,1,264
5,2,2.4,1,3,2,9.6,6.5,8.2,34,0,189
5,2,1.0,1,3,0,11.5,7.9,9.9,29,0,228
5,2,1.0,1,1,0,11.6,7.5,9.8,29,0,225
5,2,1.0,1,3,0,12.3,8.7,10.7,26,0,246
5,2,2.4,1,3,2,9.6,6.5,8.2,34,0,189
5,0,1.0,1,3,0,11.5,7.9,9.9,29,0,228
5,0,1.0,1,1,0,11.6,7.5,9.8,29,0,225
5,0,2.4,1,3,2,11.3,7.4,9.5,30,0,218
6,0,1.0,1,3,0,11.3,7.5,9.6,29,0,221
6,0,1.0,1,1,0,12.1,7.9,10.2,28,0,235
6,0,2.5,1,3,2,10.5,7.2,9.0,31,0,207
6,0,3.6,6,3,2,12.8,8.5,10.9,26,0,251
6,0,1.0,1,3,0,11.8,8.1,10.1,28,0,232
6,0,3.6,6,3,2,13.1,9.0,11.3,25,0,260
6,2,3.6,6,3,2,13.2,8.7,11.2,25,0,258
6,2,3.6,6,3,2,13.3,9.0,11.4,25,0,262
6,2,1.0,1,3,0,11.9,7.9,10.1,28,0,232
6,2,3.6,6,7,2,12.9,8.2,10.8,26,0,248
6,2,1.0,1,3,0,12.6,8.5,10.8,26,0,248
6,2,3.6,6,3,2,13.1,9.0,11.3,25,0,260
6,2,3.6,6,7,0,15.1,9.9,12.8,22,0,294
6,7,1.0,6,3,2,12.7,8.9,11.0,26,0,253
6,7,3.6,6,3,2,13.3,8.9,11.3,25,0,260
6,7,1.0,6,3,2,12.8,9.1,11.1,25,0,255
6,7,3.6,6,3,2,13.3,9.0,11.4,25,0,262
6,2,6.2,8,3,0,19.7,12.9,16.6,17,0,382
6,2,6.2,8,1,0,16.7,12.5,14.8,19,0,340
6,2,6.2,8,3,0,19.7,12.9,16.6,17,0,382
6,2,6.2,8,1,0,16.7,12.5,14.8,19,0,340
6,7,6.2,8,3,0,19.7,12.9,16.6,17,0,382
6,7,6.2,8,1,0,16.7,12.5,14.8,19,0,340
6,8,6.2,8,4,0,17.0,11.8,14.7,19,0,338
6,8,6.2,8,4,3,23.3,16.1,20.1,14,1,322
6,8,6.2,8,4,0,18.8,13.4,16.4,17,0,377
6,8,6.2,8,4,3,25.7,17.8,22.1,13,1,354
6,8,3.6,6,3,2,14.3,9.8,12.3,23,0,283
6,8,3.6,6,3,2,14.8,10.4,12.8,22,0,294
6,6,3.6,6,3,2,13.6,8.6,11.4,25,0,262
6,6,3.6,6,3,2,14.0,9.1,11.8,24,0,271
6,6,3.6,6,3,0,14.8,9.8,12.6,22,0,290
7,0,3.6,6,3,2,13.2,8.7,11.2,25,0,258
7,0,3.6,6,1,2,14.2,8.6,11.7,24,0,269
7,0,3.6,6,3,2,12.7,7.9,10.5,27,0,242
7,0,6.2,8,3,0,15.3,9.8,12.8,22,0,294
7,0,6.2,8,1,0,15.0,9.9,12.7,22,0,292
7,0,6.2,8,3,0,19.7,12.9,16.6,17,0,382
7,0,6.2,8,1,0,16.7,12.5,14.8,19,0,340
7,5,6.2,8,3,0,14.9,8.5,12.0,24,0,276
7,5,6.2,8,10,0,13.7,8.2,11.2,25,0,258
7,2,1.4,1,3,2,9.1,6.3,7.8,36,0,179
7,2,1.4,1,1,2,9.1,6.3,7.8,36,0,179
7,2,1.8,1,3,2,10.5,6.7,8.8,32,0,202
7,2,1.8,1,1,2,9.5,6.5,8.2,34,0,189
7,2,1.0,1,3,1,8.7,5.1,7.1,40,0,192
7,2,1.4,1,4,2,9.1,6.0,7.7,37,0,177
7,2,1.4,1,1,2,8.4,5.6,7.1,40,0,163
7,1,2.4,1,4,2,10.5,7.3,9.1,31,0,209
7,1,3.6,6,4,2,13.9,9.6,12.0,24,0,276
7,1,3.6,6,4,3,18.8,13.1,16.2,17,1,259
7,1,2.4,1,4,2,11.5,8.2,10.0,28,0,230
7,1,3.6,6,4,2,14.8,9.9,12.6,22,0,290
7,1,3.6,6,4,3,19.8,13.6,17.0,17,1,272
7,9,4.3,6,11,2,17.1,12.7,15.1,19,0,347
7,9,5.3,8,11,2,18.0,13.4,15.9,18,0,366
7,9,5.3,8,11,3,23.5,17.7,20.9,14,1,334
7,9,5.3,8,11,2,18.3,14.2,16.5,17,0,380
7,9,5.3,8,11,3,23.7,18.8,21.5,13,1,344
7,9,5.3,8,11,2,18.6,13.9,16.5,17,0,380
7,9,5.3,8,11,3,23.9,18.5,21.5,13,1,344
7,9,5.3,8,11,2,18.3,14.2,16.5,17,0,380
7,9,5.3,8,11,3,25.3,19.3,22.6,12,1,362
7,10,5.3,8,11,2,18.6,13.9,16.5,17,0,380
7,10,5.3,8,11,3,23.9,18.5,21.5,13,1,344
7,10,5.3,8,11,2,18.3,14.2,16.5,17,0,380
7,10,5.3,8,11,3,25.3,19.3,22.6,12,1,362
7,10,4.8,8,4,2,21.1,14.2,18.0,16,0,414
7,10,6.0,8,4,2,21.9,15.0,18.8,15,0,432
7,10,6.0,8,4,3,30.0,20.4,25.7,11,1,411
7,10,4.8,8,4,2,21.3,14.3,18.2,16,0,419
7,10,6.0,8,4,2,22.1,15.0,18.9,15,0,435
7,10,6.0,8,4,3,30.2,20.5,25.8,11,1,413
7,6,2.5,1,3,2,11.3,7.5,9.6,29,0,221
7,6,3.6,6,3,2,12.6,8.2,10.6,27,0,244
7,6,3.6,6,3,3,16.7,11.3,14.3,20,1,229
7,6,2.4,1,3,2,10.0,7.0,8.7,32,0,200
7,2,1.0,1,3,0,11.5,7.9,9.9,29,0,228
7,2,2.5,1,3,2,9.3,6.4,8.0,35,0,184
7,1,2.4,1,3,2,12.2,8.6,10.6,27,0,244
7,1,2.4,1,1,2,11.8,8.3,10.2,28,0,235
7,11,4.3,6,4,2,13.4,9.9,11.8,24,0,271
7,11,4.3,6,4,3,18.9,14.2,16.8,17,1,269
7,11,5.3,8,4,2,14.6,10.3,12.7,22,0,292
7,11,5.3,8,4,3,19.5,13.7,16.9,17,1,270
7,11,6.2,8,4,0,16.3,11.4,14.1,20,0,324
7,11,4.3,6,4,2,14.2,10.6,12.6,22,0,290
7,11,4.3,6,4,3,20.0,15.1,17.8,16,1,285
7,11,5.3,8,4,2,14.9,10.6,13.0,22,0,299
7,11,5.3,8,4,3,19.9,14.2,17.3,16,1,277
7,11,6.2,8,4,0,16.4,11.7,14.3,20,0,329
7,0,1.4,1,3,2,9.1,6.7,8.0,35,0,184
7,0,1.4,1,1,2,8.5,6.2,7.5,38,0,173
7,0,1.8,1,3,2,9.6,6.6,8.3,34,0,191
7,0,1.8,1,12,2,8.9,6.7,7.9,36,0,182
7,2,1.4,1,3,2,9.1,6.7,8.0,35,0,184
7,2,1.4,1,1,2,8.5,6.2,7.5,38,0,172
7,2,1.8,1,3,2,9.6,6.6,8.3,34,0,191
7,2,1.8,1,12,2,8.9,6.7,7.9,36,0,182
7,2,1.4,1,3,2,9.4,7.0,8.3,34,0,191
7,2,1.4,1,1,2,8.7,7.0,7.9,36,0,182
7,0,1.4,1,3,2,9.4,7.0,8.3,34,0,191
7,0,1.4,1,1,2,8.7,7.0,7.9,36,0,182
7,4,1.2,1,13,2,7.7,6.0,6.9,41,0,159
7,4,1.2,1,12,2,7.6,6.0,6.9,41,0,159
7,8,5.3,8,4,2,16.0,11.1,13.8,20,0,317
7,8,5.3,8,4,3,21.5,14.6,18.4,15,1,294
7,8,5.3,8,4,2,16.0,11.1,13.8,20,0,317
7,8,5.3,8,4,3,21.5,14.6,18.4,15,1,294
7,8,5.3,8,4,2,16.0,11.1,13.8,20,0,317
7,8,5.3,8,4,3,21.5,14.6,18.4,15,1,294
7,8,5.3,8,4,2,16.0,11.1,13.8,20,0,317
7,8,5.3,8,4,3,21.5,14.6,18.4,15,1,294
7,8,3.6,6,4,2,14.3,9.9,12.3,23,0,283
7,8,3.6,6,4,2,14.6,10.2,12.6,22,0,290
7,1,1.4,1,3,2,9.4,7.1,8.4,34,0,193
7,1,1.4,1,1,2,9.1,6.8,8.1,35,0,186
7,1,1.4,1,3,2,10.0,7.8,9.0,31,0,207
8,6,3.6,6,9,2,12.4,7.7,10.3,27,0,237
8,0,2.4,1,11,2,11.7,8.2,10.1,28,0,232
8,0,2.4,1,4,2,12.9,8.1,10.7,26,0,246
8,0,3.6,6,4,2,12.5,8.1,10.5,27,0,242
8,0,3.6,6,4,3,17.0,11.2,14.4,20,1,230
8,2,2.4,1,11,2,11.2,8.0,9.8,29,0,225
8,2,2.4,1,4,2,12.0,7.6,10.0,28,0,230
8,2,3.6,6,4,2,12.5,8.1,10.5,27,0,242
8,2,3.6,6,4,3,17.0,11.2,14.4,20,1,230
8,6,5.7,8,14,2,15.8,9.2,12.8,22,0,294
8,6,3.6,6,9,2,12.8,8.6,10.9,26,0,251
8,6,5.7,8,14,2,16.1,10.0,13.4,21,0,308
8,6,3.6,6,9,2,12.8,8.6,10.9,26,0,251
8,6,3.6,6,9,3,17.3,11.7,14.8,19,1,237
8,6,3.6,6,9,2,12.4,7.7,10.3,27,0,237
8,6,6.4,8,14,0,16.7,10.3,13.8,20,0,317
8,12,3.6,6,4,2,14.1,9.5,12.0,24,0,276
8,12,3.6,6,4,3,19.7,13.3,16.8,17,1,269
9,2,2.4,1,11,2,11.2,8.0,9.8,29,0,225
9,2,2.4,1,4,2,12.0,7.6,10.0,28,0,230
9,2,3.6,6,4,2,12.5,8.1,10.5,27,0,242
9,2,3.6,6,4,3,17.0,11.2,14.4,20,1,230
9,2,3.6,6,14,2,13.2,8.7,11.2,25,0,258
9,2,5.7,8,1,2,15.6,10.0,13.1,22,0,301
9,2,5.7,8,14,2,15.8,9.2,12.8,22,0,294
9,2,6.4,8,1,0,16.8,10.4,13.9,20,0,320
9,2,6.4,8,14,0,16.7,10.3,13.8,20,0,317
9,6,3.6,6,14,2,13.2,8.7,11.2,25,0,258
9,6,3.6,6,9,2,12.4,7.7,10.3,27,0,237
9,6,5.7,8,14,2,15.8,9.2,12.8,22,0,294
9,6,3.6,6,9,2,12.8,8.6,10.9,26,0,251
9,6,5.7,8,14,2,16.1,10.0,13.4,21,0,308
9,6,3.6,6,9,2,12.8,8.6,10.9,26,0,251
9,6,3.6,6,9,3,17.3,11.7,14.8,19,1,237
9,6,3.6,6,14,2,13.2,8.7,11.2,25,0,258
9,6,3.6,6,14,3,18.3,12.6,15.7,18,1,251
9,6,3.6,6,9,2,12.3,7.6,10.2,28,0,235
9,6,6.4,8,14,0,16.7,10.3,13.8,20,0,317
9,2,1.0,1,1,2,9.4,6.5,8.1,35,0,186
9,2,2.4,1,4,2,10.1,6.8,8.6,33,0,198
9,2,2.4,1,1,2,10.5,6.7,8.8,32,0,202
9,2,1.0,1,4,2,9.9,7.0,8.6,33,0,198
9,2,2.4,1,4,2,10.6,7.5,9.2,31,0,212
9,2,2.4,1,1,2,10.2,7.0,8.8,32,0,202
9,2,1.4,1,15,2,8.4,5.9,7.3,39,0,168
9,2,1.4,1,1,2,8.5,5.8,7.3,39,0,168
9,8,5.7,8,9,2,17.3,10.8,14.4,20,0,331
9,8,3.6,6,9,2,13.9,9.8,12.1,23,0,278
9,8,3.6,6,9,3,17.7,13.0,15.6,18,1,250
9,12,3.6,6,4,2,13.7,9.4,11.8,24,0,271
9,12,3.6,6,4,3,19.2,13.1,16.5,17,1,264
9,1,2.4,1,11,2,12.7,9.1,11.1,25,0,255
9,1,3.6,6,4,2,14.5,9.9,12.4,23,0,285
9,1,3.6,6,4,2,14.2,9.4,12.0,24,0,276
9,1,3.6,6,4,3,18.9,12.9,16.2,17,1,259
10,3,1.4,1,12,2,8.5,6.9,7.8,36,0,179
10,3,1.4,1,12,2,8.5,6.9,7.8,36,0,179
10,3,1.4,1,4,2,8.7,6.9,7.9,36,0,182
10,3,1.4,1,12,2,7.9,6.3,7.2,39,0,166
10,3,1.4,1,12,2,8.5,6.9,7.8,36,0,179
10,3,1.4,1,4,2,8.7,6.9,7.9,36,0,182
10,3,1.4,1,12,2,7.6,5.9,6.8,42,0,156
10,3,1.4,1,12,2,8.5,6.9,7.8,36,0,179
10,7,1.4,1,15,2,10.0,7.2,8.7,32,0,200
10,7,1.4,1,1,2,9.3,7.2,8.4,34,0,193
11,6,1.0,1,13,2,5.6,6.4,6.0,47,0,138
11,9,4.6,8,11,2,17.7,14.4,16.2,17,0,373
11,9,4.6,8,11,3,24.1,19.2,21.9,13,1,350
11,9,5.4,8,11,2,19.3,14.7,17.2,16,0,396
11,9,5.4,8,11,3,24.9,19.6,22.5,13,1,360
11,10,4.6,8,11,2,18.6,14.6,16.8,17,0,386
11,10,4.6,8,11,3,25.5,20.0,23.0,12,1,368
11,10,5.4,8,11,2,20.6,15.5,18.3,15,0,421
11,10,5.4,8,11,3,26.7,20.5,23.9,12,1,382
11,1,1.0,1,4,2,11.3,7.9,9.8,29,0,225
11,1,3.5,6,3,2,12.6,8.7,10.8,26,0,248
11,1,3.5,6,3,2,13.3,9.3,11.5,25,0,264
11,1,3.7,6,3,2,13.7,10.4,12.2,23,0,281
11,1,1.6,1,3,2,10.4,7.4,9.1,31,0,209
11,1,1.0,1,3,2,10.9,8.0,9.6,29,0,221
11,1,2.5,1,3,2,10.9,7.5,9.4,30,0,216
11,1,1.6,1,3,2,10.5,7.9,9.3,30,0,214
